Product code,Bureau of Meteorology station number,Year,Month,Day,Minimum temperature (Degree C),Days of accumulation of minimum temperature,Quality
IDCJAC0011,008315,2016,05,13,11.5,1,N
IDCJAC0011,008315,2016,05,14,13.2,1,N
IDCJAC0011,008315,2016,05,15,10.5,1,N
IDCJAC0011,008315,2016,05,16,9.2,1,N
IDCJAC0011,008315,2016,05,17,8.6,1,N
IDCJAC0011,008315,2016,05,18,7.2,1,N
IDCJAC0011,008315,2016,05,19,13.4,1,N
IDCJAC0011,008315,2016,05,20,10.2,1,N
IDCJAC0011,008315,2016,05,21,13.8,1,N
IDCJAC0011,008315,2016,05,22,13.6,1,N
IDCJAC0011,008315,2016,05,23,8.4,1,N
IDCJAC0011,008315,2016,05,24,12.5,1,N
IDCJAC0011,008315,2016,05,25,16.3,1,N
IDCJAC0011,008315,2016,05,26,15.2,1,N
IDCJAC0011,008315,2016,05,27,10.4,1,N
IDCJAC0011,008315,2016,05,28,11.3,1,N
IDCJAC0011,008315,2016,05,29,11.4,1,N
IDCJAC0011,008315,2016,05,30,10.9,1,N
IDCJAC0011,008315,2016,05,31,7.8,1,N
IDCJAC0011,008315,2016,06,01,6.8,1,Y
IDCJAC0011,008315,2016,06,02,12.0,1,Y
IDCJAC0011,008315,2016,06,03,11.2,1,Y
IDCJAC0011,008315,2016,06,04,15.1,1,Y
IDCJAC0011,008315,2016,06,05,13.4,1,Y
IDCJAC0011,008315,2016,06,06,9.7,1,Y
IDCJAC0011,008315,2016,06,07,10.9,1,Y
IDCJAC0011,008315,2016,06,08,6.7,1,Y
IDCJAC0011,008315,2016,06,09,5.8,1,Y
IDCJAC0011,008315,2016,06,10,7.6,1,Y
IDCJAC0011,008315,2016,06,11,7.1,1,Y
IDCJAC0011,008315,2016,06,12,11.1,1,Y
IDCJAC0011,008315,2016,06,13,13.8,1,Y
IDCJAC0011,008315,2016,06,14,8.4,1,Y
IDCJAC0011,008315,2016,06,15,8.0,1,Y
IDCJAC0011,008315,2016,06,16,9.7,1,Y
IDCJAC0011,008315,2016,06,17,6.7,1,Y
IDCJAC0011,008315,2016,06,18,5.7,1,Y
IDCJAC0011,008315,2016,06,19,9.6,1,Y
IDCJAC0011,008315,2016,06,20,13.6,1,Y
IDCJAC0011,008315,2016,06,21,14.3,1,Y
IDCJAC0011,008315,2016,06,22,7.3,1,Y
IDCJAC0011,008315,2016,06,23,9.2,1,Y
IDCJAC0011,008315,2016,06,24,7.7,1,Y
IDCJAC0011,008315,2016,06,25,6.2,1,Y
IDCJAC0011,008315,2016,06,26,5.1,1,Y
IDCJAC0011,008315,2016,06,27,3.6,1,Y
IDCJAC0011,008315,2016,06,28,8.6,1,Y
IDCJAC0011,008315,2016,06,29,13.3,1,Y
IDCJAC0011,008315,2016,06,30,6.9,1,Y
IDCJAC0011,008315,2016,07,01,7.9,1,Y
IDCJAC0011,008315,2016,07,02,11.8,1,Y
IDCJAC0011,008315,2016,07,03,6.9,1,Y
IDCJAC0011,008315,2016,07,04,7.3,1,Y
IDCJAC0011,008315,2016,07,05,10.2,1,Y
IDCJAC0011,008315,2016,07,06,9.5,1,Y
IDCJAC0011,008315,2016,07,07,7.6,1,Y
IDCJAC0011,008315,2016,07,08,10.7,1,Y
IDCJAC0011,008315,2016,07,09,8.9,1,Y
IDCJAC0011,008315,2016,07,10,9.6,1,Y
IDCJAC0011,008315,2016,07,11,9.0,1,Y
IDCJAC0011,008315,2016,07,12,6.0,1,Y
IDCJAC0011,008315,2016,07,13,1.9,1,Y
IDCJAC0011,008315,2016,07,14,4.5,1,Y
IDCJAC0011,008315,2016,07,15,9.2,1,Y
IDCJAC0011,008315,2016,07,16,10.8,1,Y
IDCJAC0011,008315,2016,07,17,14.5,1,Y
IDCJAC0011,008315,2016,07,18,11.0,1,Y
IDCJAC0011,008315,2016,07,19,3.7,1,Y
IDCJAC0011,008315,2016,07,20,4.5,1,Y
IDCJAC0011,008315,2016,07,21,8.4,1,Y
IDCJAC0011,008315,2016,07,22,9.7,1,Y
IDCJAC0011,008315,2016,07,23,8.7,1,Y
IDCJAC0011,008315,2016,07,24,5.6,1,Y
IDCJAC0011,008315,2016,07,25,4.8,1,Y
IDCJAC0011,008315,2016,07,26,4.0,1,Y
IDCJAC0011,008315,2016,07,27,6.2,1,Y
